Precision,Recall
0.09503342884431709,1.0
0.09507883420926899,1.0
0.09512428298279159,1.0
0.09516977522716404,1.0
0.09521531100478468,1.0
0.09526089037817137,1.0
0.09530651340996169,1.0
0.09535218016291327,1.0
0.09539789069990412,1.0
0.09544364508393285,1.0
0.095489443378119,1.0
0.09553528564570331,1.0
0.09558117195004803,1.0
0.0956271023546372,1.0
0.09567307692307692,1.0
0.09571909571909572,1.0
0.09576515880654475,1.0
0.09581126624939817,1.0
0.09585741811175337,1.0
0.09590361445783133,1.0
0.09594985535197685,1.0
0.09599614085865894,1.0
0.09604247104247104,1.0
0.09608884596813133,1.0
0.09613526570048309,1.0
0.09618173030449492,1.0
0.09622823984526112,1.0
0.09627479438800193,1.0
0.09632139399806389,1.0
0.09636803874092009,1.0
0.09641472868217055,1.0
0.09646146388754241,1.0
0.0965082444228904,1.0
0.096555070354197,1.0
0.09660194174757282,1.0
0.09664885866925692,1.0
0.0966958211856171,1.0
0.09674282936315022,1.0
0.0967898832684825,1.0
0.09683698296836983,1.0
0.09688412852969815,1.0
0.09693132001948368,1.0
0.09697855750487329,1.0
0.09702584105314481,1.0
0.09707317073170732,1.0
0.09712054660810152,1.0
0.09716796875,1.0
0.09721543722520762,1.0
0.09726295210166178,1.0
0.09731051344743276,1.0
0.09735812133072407,1.0
0.09740577581987274,1.0
0.09745347698334966,1.0
0.09750122488975992,1.0
0.09754901960784314,1.0
0.09759686120647376,1.0
0.09764474975466143,1.0
0.0976926853215513,1.0
0.09774066797642436,1.0
0.0977886977886978,1.0
0.09783677482792527,1.0
0.09788489916379735,1.0
0.09793307086614174,1.0
0.09798129000492369,1.0
0.0980295566502463,1.0
0.09807787087235091,1.0
0.09812623274161736,1.0
0.09817464232856438,1.0
0.09822309970384994,1.0
0.09827160493827161,1.0
0.0983201581027668,1.0
0.09836875926841325,1.0
0.09841740850642927,1.0
0.09846610588817417,1.0
0.09851485148514852,1.0
0.09856364536899455,1.0
0.09861248761149653,1.0
0.09866137828458106,1.0
0.09871031746031746,1.0
0.09875930521091811,1.0
0.09880834160873883,1.0
0.09885742672627919,1.0
0.0989065606361829,1.0
0.0989557434112382,1.0
0.09900497512437811,1.0
0.09905425584868094,1.0
0.09910358565737051,1.0
0.09915296462381665,1.0
0.0992023928215354,1.0
0.09925187032418953,1.0
0.09930139720558882,1.0
0.09935097353969047,1.0
0.09940059940059941,1.0
0.09945027486256872,1.0
0.0995,1.0
0.09954977488744372,1.0
0.0995995995995996,1.0
0.09964947421131698,1.0
0.09969939879759519,1.0
0.09974937343358396,1.0
0.09979939819458375,1.0
0.09984947315604616,1.0
0.09989959839357429,1.0
0.09994977398292315,1.0
0.1,1.0
0.10005027652086476,1.0
0.10010060362173039,1.0
0.10015098137896326,1.0
0.10020140986908359,1.0
0.10025188916876575,1.0
0.1003024193548387,1.0
0.10035300050428643,1.0
0.10040363269424823,1.0
0.10045431600201918,1.0
0.1005050505050505,1.0
0.10055583628094998,1.0
0.1006066734074823,1.0
0.10065756196256954,1.0
0.1007085020242915,1.0
0.10075949367088607,1.0
0.10081053698074975,1.0
0.1008616320324379,1.0
0.10091277890466531,1.0
0.10096397767630644,1.0
0.10101522842639594,1.0
0.101066531234129,1.0
0.10111788617886179,1.0
0.10116929334011185,1.0
0.10122075279755849,1.0
0.10127226463104326,1.0
0.10132382892057026,1.0
0.10137544574630668,1.0
0.10142711518858308,1.0
0.10147883732789394,1.0
0.10153061224489796,1.0
0.10158244002041858,1.0
0.10163432073544433,1.0
0.10168625447112928,1.0
0.10173824130879346,1.0
0.10179028132992328,1.0
0.10184237461617196,1.0
0.10189452124935997,1.0
0.1019467213114754,1.0
0.10199897488467452,1.0
0.10205128205128206,1.0
0.10210364289379169,1.0
0.10215605749486653,1.0
0.10220852593733949,1.0
0.10226104830421377,1.0
0.10231362467866324,1.0
0.10236625514403293,1.0
0.10241893978383942,1.0
0.10247167868177137,1.0
0.10252447192168986,1.0
0.10257731958762886,1.0
0.10263022176379577,1.0
0.10268317853457172,1.0
0.10273618998451213,1.0
0.10278925619834711,1.0
0.10284237726098192,1.0
0.10289555325749741,1.0
0.10294878427315055,1.0
0.10300207039337474,1.0
0.10305541170378042,1.0
0.10310880829015544,1.0
0.10316226023846553,1.0
0.10321576763485477,1.0
0.10326933056564608,1.0
0.10332294911734165,1.0
0.10337662337662337,1.0
0.10343035343035344,1.0
0.10348413936557463,1.0
0.10353798126951093,1.0
0.10359187922956793,1.0
0.10364583333333334,1.0
0.10369984366857739,1.0
0.10375391032325339,1.0
0.10380803338549817,1.0
0.10386221294363257,1.0
0.10391644908616188,1.0
0.10397074190177638,1.0
0.10402509147935181,1.0
0.10407949790794979,1.0
0.10413396127681843,1.0
0.10418848167539267,1.0
0.10424305919329492,1.0
0.10429769392033543,1.0
0.10435238594651285,1.0
0.1044071353620147,1.0
0.10446194225721785,1.0
0.10451680672268908,1.0
0.1045717288491855,1.0
0.1046267087276551,1.0
0.10468174644923724,1.0
0.10473684210526316,1.0
0.10479199578725645,1.0
0.10484720758693361,1.0
0.10490247759620454,1.0
0.10495780590717299,1.0
0.10501319261213721,1.0
0.10506863780359028,1.0
0.10512414157422081,1.0
0.10517970401691332,1.0
0.10523532522474881,1.0
0.1052910052910053,1.0
0.10534674430915829,1.0
0.10540254237288135,1.0
0.10545839957604664,1.0
0.10551431601272535,1.0
0.10557029177718832,1.0
0.10562632696390659,1.0
0.10568242166755178,1.0
0.10573857598299681,1.0
0.10579479000531632,1.0
0.10585106382978723,1.0
0.1059073975518893,1.0
0.10596379126730564,1.0
0.10602024507192329,1.0
0.10607675906183368,1.0
0.10613333333333333,1.0
0.10618996798292422,1.0
0.10624666310731447,1.0
0.1063034188034188,1.0
0.10636023516835917,1.0
0.10641711229946524,1.0
0.10647405029427501,1.0
0.10653104925053533,1.0
0.10658810926620246,1.0
0.10664523043944266,1.0
0.1067024128686327,1.0
0.10675965665236052,1.0
0.10681696188942566,1.0
0.10687432867883996,1.0
0.10693175711982805,1.0
0.10698924731182796,1.0
0.10704679935449166,1.0
0.10710441334768568,1.0
0.10716208939149165,1.0
0.10721982758620689,1.0
0.10727762803234502,1.0
0.10733549083063647,1.0
0.10739341608202914,1.0
0.10745140388768898,1.0
0.10750945434900054,1.0
0.10756756756756757,1.0
0.10762574364521363,1.0
0.10768398268398269,1.0
0.10774228478613969,1.0
0.10780065005417118,1.0
0.1078590785907859,1.0
0.1079175704989154,1.0
0.1079761258817146,1.0
0.10803474484256244,1.0
0.10809342748506247,1.0
0.10815217391304348,1.0
0.10821098423056008,1.0
0.10826985854189336,1.0
0.10832879695155144,1.0
0.10838779956427015,1.0
0.10844686648501363,1.0
0.10850599781897492,1.0
0.10856519367157665,1.0
0.10862445414847162,1.0
0.10868377935554342,1.0
0.1087431693989071,1.0
0.10880262438490979,1.0
0.10886214442013128,1.0
0.10892172961138478,1.0
0.10898138006571742,1.0
0.10904109589041096,1.0
0.10910087719298246,1.0
0.10916072408118487,1.0
0.10922063666300769,1.0
0.10928061504667765,1.0
0.10934065934065934,1.0
0.10940076965365586,1.0
0.10946094609460946,1.0
0.10952118877270225,1.0
0.10958149779735683,1.0
0.10964187327823692,1.0
0.10970231532524807,1.0
0.10976282404853833,1.0
0.1098233995584989,1.0
0.10988404196576478,1.0
0.10994475138121547,1.0
0.11000552791597568,1.0
0.11006637168141593,1.0
0.11012728278915329,1.0
0.11018826135105204,1.0
0.11024930747922437,1.0
0.11031042128603104,1.0
0.11037160288408208,1.0
0.11043285238623751,1.0
0.110494169905608,1.0
0.11055555555555556,1.0
0.11061700944969427,1.0
0.11067853170189099,1.0
